contact_id	probe_id	connector_aligned_id	hemisphere	x	y	z	spacial_unit	impedance	impedance_unit	location	material	insulation	contact_shape	radius
76	Prob-1025-0503	32	right	1.2	0.4	1.5	mm	47	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
77	Prob-1025-0503	21	right	0.8	0	1.5	mm	46	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
78	Prob-1025-0503	22	right	0.8	0.4	1.5	mm	48	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
79	Prob-1025-0503	11	right	0.4	0	1.5	mm	49	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
80	Prob-1025-0503	12	right	0.4	0.4	1.5	mm	45	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
81	Prob-1025-0503	2	right	0	0.4	1.5	mm	54	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
82	Prob-1025-0503	23	right	0.8	0.8	1.5	mm	48	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
83	Prob-1025-0503	3	right	0	0.8	1.5	mm	51	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
84	Prob-1025-0503	13	right	0.4	0.8	1.5	mm	49	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
85	Prob-1025-0503	4	right	0	1.2	1.5	mm	49	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
86	Prob-1025-0503	14	right	0.4	1.2	1.5	mm	50	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
87	Prob-1025-0503	15	right	0.4	1.6	1.5	mm	52	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
88	Prob-1025-0503	5	right	0	1.6	1.5	mm	50	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
89	Prob-1025-0503	16	right	0.4	2	1.5	mm	50	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
90	Prob-1025-0503	6	right	0	2	1.5	mm	49	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
91	Prob-1025-0503	17	right	0.4	2.4	1.5	mm	49	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
92	Prob-1025-0503	7	right	0	2.4	1.5	mm	51	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
93	Prob-1025-0503	8	right	0	2.8	1.5	mm	52	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
94	Prob-1025-0503	18	right	0.4	2.8	1.5	mm	53	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
95	Prob-1025-0503	20	right	0.4	3.6	1.5	mm	53	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
96	Prob-1025-0503	9	right	0	3.2	1.5	mm	54	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
