channel_id	contact_id	sampling_frequency	units	channel_name	file_origin	connector_id	connector_pin_id	nev_dig_factor	nb_sorted_units	nsx	hi_pass_freq	lo_pass_freq	hi_pass_order	lo_pass_order	filter_type	electrode_reject_HFC	electrode_reject_LFC	electrode_reject_IFC	connector_aligned_ids	coordinates_x	coordinates_y	channel_type
28	28.0	30000	uV	chan28	../../../sourcedata/l101210-001.ns5	1	28	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	50.0	3.6	1.6	extracellular neuronal recordings
29	29.0	30000	uV	chan29	../../../sourcedata/l101210-001.ns5	1	29	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	True	59.0	3.2	2.0	extracellular neuronal recordings
30	30.0	30000	uV	chan30	../../../sourcedata/l101210-001.ns5	1	30	1000	0	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	40.0	3.6	1.2	extracellular neuronal recordings
31	31.0	30000	uV	chan31	../../../sourcedata/l101210-001.ns5	1	31	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	49.0	3.2	1.6	extracellular neuronal recordings
32	32.0	30000	uV	chan32	../../../sourcedata/l101210-001.ns5	1	32	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	30.0	3.6	0.8	extracellular neuronal recordings
33	33.0	30000	uV	chan33	../../../sourcedata/l101210-001.ns5	2	1	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	83.0	0.8	3.2	extracellular neuronal recordings
34	34.0	30000	uV	chan34	../../../sourcedata/l101210-001.ns5	2	2	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	84.0	1.2	3.2	extracellular neuronal recordings
35	35.0	30000	uV	chan35	../../../sourcedata/l101210-001.ns5	2	3	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	73.0	0.8	2.8	extracellular neuronal recordings
36	36.0	30000	uV	chan36	../../../sourcedata/l101210-001.ns5	2	4	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	74.0	1.2	2.8	extracellular neuronal recordings
37	37.0	30000	uV	chan37	../../../sourcedata/l101210-001.ns5	2	5	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	63.0	0.8	2.4	extracellular neuronal recordings
