contact_id	probe_id	connector_aligned_id	hemisphere	x	y	spacial_unit	impedance	impedance_unit	location	material	insulation	contact_shape	radius
76	Prob-8596-001139	32	right	1.2	0.4	mm	56	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
77	Prob-8596-001139	21	right	0.8	0	mm	50	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
78	Prob-8596-001139	22	right	0.8	0.4	mm	65	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
79	Prob-8596-001139	11	right	0.4	0	mm	49	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
80	Prob-8596-001139	12	right	0.4	0.4	mm	59	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
81	Prob-8596-001139	2	right	0	0.4	mm	62	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
82	Prob-8596-001139	23	right	0.8	0.8	mm	53	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
83	Prob-8596-001139	3	right	0	0.8	mm	49	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
84	Prob-8596-001139	13	right	0.4	0.8	mm	58	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
85	Prob-8596-001139	4	right	0	1.2	mm	49	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
86	Prob-8596-001139	14	right	0.4	1.2	mm	92	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
87	Prob-8596-001139	15	right	0.4	1.6	mm	56	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
88	Prob-8596-001139	5	right	0	1.6	mm	73	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
89	Prob-8596-001139	16	right	0.4	2	mm	56	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
90	Prob-8596-001139	6	right	0	2	mm	48	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
91	Prob-8596-001139	17	right	0.4	2.4	mm	56	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
92	Prob-8596-001139	7	right	0	2.4	mm	47	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
93	Prob-8596-001139	8	right	0	2.8	mm	56	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
94	Prob-8596-001139	18	right	0.4	2.8	mm	49	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
95	Prob-8596-001139	20	right	0.4	3.6	mm	51	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
96	Prob-8596-001139	9	right	0	3.2	mm	55	kOhm	M1	iridium oxide	Parylene-c	circle	0.025
