channel_id	contact_id	stream_id	sampling_frequency	units	channel_name	file_origin	connector_id	connector_pin_id	nev_dig_factor	nb_sorted_units	nev_hi_freq_order	nev_hi_freq_type	nev_lo_freq_order	nev_lo_freq_type	nsx_hi_freq_order	nsx_lo_freq_order	nsx_hi_freq_type	nsx_lo_freq_type	nsx	hi_pass_freq	lo_pass_freq	hi_pass_order	lo_pass_order	filter_type	electrode_reject_LFC	electrode_reject_IFC	Unnamed: 27	connector_aligned_id	coordinates_x	coordinates_y	channel_type
22	23.0	1	1000	uV	chan23	../../../sourcedata/i140703-001.ns2	1	23	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	True	True	78.0	2.8	2.8	extracellular neuronal recordings
23	24.0	1	1000	uV	chan24	../../../sourcedata/i140703-001.ns2	1	24	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	70.0	3.6	2.4	extracellular neuronal recordings
24	25.0	1	1000	uV	chan25	../../../sourcedata/i140703-001.ns2	1	25	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	68.0	2.8	2.4	extracellular neuronal recordings
25	26.0	1	1000	uV	chan26	../../../sourcedata/i140703-001.ns2	1	26	250	3	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	60.0	3.6	2.0	extracellular neuronal recordings
26	27.0	1	1000	uV	chan27	../../../sourcedata/i140703-001.ns2	1	27	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	69.0	3.2	2.4	extracellular neuronal recordings
27	28.0	1	1000	uV	chan28	../../../sourcedata/i140703-001.ns2	1	28	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	50.0	3.6	1.6	extracellular neuronal recordings
28	29.0	1	1000	uV	chan29	../../../sourcedata/i140703-001.ns2	1	29	250	3	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	59.0	3.2	2.0	extracellular neuronal recordings
29	30.0	1	1000	uV	chan30	../../../sourcedata/i140703-001.ns2	1	30	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	40.0	3.6	1.2	extracellular neuronal recordings
30	31.0	1	1000	uV	chan31	../../../sourcedata/i140703-001.ns2	1	31	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	49.0	3.2	1.6	extracellular neuronal recordings
31	32.0	1	1000	uV	chan32	../../../sourcedata/i140703-001.ns2	1	32	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	30.0	3.6	0.8	extracellular neuronal recordings
